task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,32926,197
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,29559,253
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,41557,382
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,23044,297
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,20780,272
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,1,1.0,1.0,1.0,26191,889
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1,1.0,1.0,1.0,27305,256
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,28423,326
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1.0,1.0,1.0,21006,255
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,29181,274
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,26147,271
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,0,0.6,1.0,0.7499999999999999,26186,481
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1,1.0,1.0,1.0,30165,198
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,0,0.36363636363636365,1.0,0.5333333333333333,23287,647
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,0,0.0,0.0,0.0,20645,368
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,0,0.5,1.0,0.6666666666666666,22870,451
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,20931,215
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1,1.0,1.0,1.0,25644,283
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,1,1.0,1.0,1.0,32163,221
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,25868,274
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1.0,1.0,1.0,20063,271
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,0,0.5,1.0,0.6666666666666666,24343,246
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,26787,233
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,28089,323
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,0,0.5,1.0,0.6666666666666666,22251,346
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,0.5789473684210527,1.0,0.7333333333333334,21426,1289
